window_id,ts_q_cv,ts_q_mad_rel,ts_q_iqr_rel,ts_q_drift_rel,ts_q_tv_step_rel,ts_q_lag1,ts_q_start_over_plateau,ts_q_end_over_plateau,ts_q_plateau_cv,ts_q_spike_frac,ts_channel_cv_mean,ts_channel_cv_max,ts_channel_plateau_cv_mean,ts_channel_drift_abs_mean,ts_channel_tv_mean,ts_pair_corr_mean,ts_pair_corr_min,ts_diff_top_bottom_std,ts_diff_top_bottom_drift,ts_diff_inner_skew_std,ts_diff_inner_skew_drift,ts_diff_center_edge_std,ts_diff_center_edge_drift,ts_diff_alternating_std,ts_diff_alternating_drift
updated_20260608_home__20260608_112156,0.2700186959358843,0.012122948890588518,0.06679612777282326,-0.03404175308688064,0.021093110499851974,0.9886873438420823,-0.30018915006124347,-0.3305323648095424,0.010088696752837805,0.23529411764705882,0.2715121761991777,0.27400625262915385,0.015207472945097184,0.03405778796086882,0.02732282912583167,0.9975875791236526,0.9949496687972202,0.32266543456539265,0.020978750454070477,0.09173191700997681,0.0015482024101693109,0.3291892513343161,-0.08584429985154933,0.24573915715530834,0.01943054804390113
updated_20260608_home__20260608_130102,0.23427281927433902,0.005041714929848571,0.009588861678371237,-0.07903254378910758,0.01920220704795887,0.9822904314353071,-0.15731510284573758,-0.23284225678609305,0.0046672327943939355,0.23741007194244604,0.2349636014210703,0.23652281097737007,0.014989242165304345,0.07915885166371275,0.027397589570454017,0.9949439945870822,0.9890133540662421,0.162487251471183,-0.04493332309095086,0.12500113966083193,-0.055123418529336145,0.28252241913690346,-0.014065027334279116,0.12801628300149046,0.010190095438385284
updated_20260608_home__20260608_135520,0.20997930301496828,0.009087125176072039,0.018081054392229807,-0.029258816584440628,0.016807747425411915,0.97806682629147,-0.1530182447361672,-0.1750875000898786,0.007990777769039505,0.11688311688311688,0.21058935738196133,0.21294961730884832,0.016081898633822117,0.02908527407492213,0.0255190377581573,0.9942915319943648,0.9865716490737583,0.14324679489513406,-0.030696958613763547,0.09327676273476576,0.009883204893143859,0.2054836842334455,0.1490962107301214,0.22205768616069702,-0.04058016350690736
updated_20260608_home__20260608_155232,0.26654189311551263,0.008570262545710142,0.0171718974086656,-0.016440425494077874,0.02070672276310567,0.9883477525971027,-0.2876776956434637,-0.2914565526170644,0.01274104448781749,0.22950819672131148,0.2670618635116782,0.26981657332988523,0.01849468715696421,0.01641359940559204,0.027397133266953134,0.9969274284806946,0.9930478393328324,0.16939140163462552,-0.10952379933914273,0.08084686315789134,-0.0649084636399451,0.25225612007474013,0.21797902956719933,0.14139132664848555,-0.04461533569919761
updated_20260608_home__20260608_161457,0.24686681502121136,0.007224139304820638,0.05931659927106885,0.07098601956246697,0.019242227401976213,0.9872930133721479,-0.324278966871721,-0.24931041807568444,0.007892898521681067,0.265625,0.24798754063384926,0.2507333579087765,0.014923029597354146,0.07132152750424454,0.026941984272751178,0.9965073615202484,0.9919639546487051,0.17640784031883555,0.03732604341854597,0.0657228137281461,-0.024054887969701448,0.21634674208334911,0.12624321536183902,0.21923461547748185,0.061380931388247406
updated_20260608_home__20260608_163905,0.22037865090335948,0.006234618562633286,0.014489401467273783,-0.03010103224614909,0.017665141475647832,0.9812781792505647,-0.1916881806773998,-0.21140849841129694,0.006665342837958371,0.19858156028368795,0.22134250592597765,0.22440723611801489,0.014856047413815576,0.03022842910484578,0.02612801547691061,0.9945268093029067,0.9875727537125166,0.24840391554041297,0.05018575253291008,0.050576984893918236,-0.01912107676596275,0.14241713616289944,0.08698381086587849,0.2171255234783242,0.06930682929887282
updated_20260608_home__20260608_170026,0.20111054337444004,0.0063804555316894895,0.012416715317535083,0.017409506134086105,0.01627371851703699,0.9760309736607686,-0.17857645501910946,-0.16345283467702398,0.004833662330554954,0.14375,0.20204756346642042,0.2036156313556444,0.01485600564874807,0.017524467547677607,0.026063731328316846,0.9933470011348422,0.9861376806578397,0.09574841019742135,0.0006821422427440341,0.0950524989198555,0.01647971344327555,0.16445270075173393,0.09903014872866264,0.03799258914580021,-0.01579757120053151
updated_20260608_home__20260608_174749,0.16665938645315662,0.0048561866764881565,0.009527862740515716,-0.03909809774518283,0.012120777875725046,0.9587538143121421,-0.06900238945664317,-0.1024041765171565,0.0044476944197394805,0.05829596412556054,0.16756767774365752,0.16947741209666595,0.0180779106555544,0.03906796087771099,0.02390562480325694,0.9854324635828032,0.9679437815430001,0.1159183860321978,0.04496923961299729,0.14312465070497732,-0.05449967694635016,0.18202723539494628,0.09775978983814325,0.2261364388803336,0.09946891655934745
updated_20260608_home__20260608_181045,0.14465805434591555,0.004256550623793309,0.008281822031659489,-0.03945798268623058,0.011074639154554141,0.9406091639221882,-0.04745942196058839,-0.08030456508606676,0.011393934831814825,0.052083333333333336,0.14607056016980538,0.14837586467948344,0.021567411869056394,0.03910600207109536,0.02271587472881421,0.9740181228049256,0.9482271798753289,0.20161911532192836,0.10130478664244705,0.030303096221937116,0.0048748318873103845,0.17272870962386885,-0.030320947556885976,0.18848596402356713,0.09642995475513666
updated_20260609_home__20260609_083150,0.22292294505094423,0.0048033420621124605,0.009383146917912527,-0.008266391418408207,0.018397341819363575,0.9805251748527616,-0.18220707496583521,-0.18842051582395547,0.004558154445851614,0.2112676056338028,0.22366515400034973,0.22601764450586342,0.013413792320831192,0.009235460780246682,0.027532387384639413,0.9954038349565412,0.9911295252310056,0.1923399284944955,-0.006988973814965446,0.26978640630512174,-0.05909100017294383,0.07902297941921672,-0.02086542369252121,0.14374721920561995,0.052102026357978365
