feature,missing_rate,unique_count,std,corr_target_pearson,corr_target_spearman,corr_within_group,corr_between_group,within_variance_ratio,abs_corr_within_group
ts_us3_cv,0.0,159,0.0069701544043786895,-0.09892041554425052,0.2338249343205159,-0.10992598423530951,-0.19169268261883027,0.6723717308732419,0.10992598423530951
ts_v1_range_rel,0.0,159,0.05806907461785821,-0.10187377399561257,-0.17959457845712923,0.10818046138286427,-0.3561563007417256,0.5745264350366859,0.10818046138286427
ts_v0_mean,0.0,159,1.2738407638900267,0.4523201150626804,0.3971190589921185,-0.10698330537003663,0.6228918193072367,0.022991098456560773,0.10698330537003663
ts_diff_top_bottom_std,0.0,159,0.1138670653185178,0.016791857566238223,0.010693814186768569,0.10484098881066187,0.07474415356966897,0.6381912884389517,0.10484098881066187
ts_v0_range_rel,0.0,159,0.05803767554947085,-0.2718110567730187,-0.4098698352042035,0.10270019626080874,-0.6018654201388132,0.47619095948725,0.10270019626080874
ts_diff_inner_skew_std,0.0,159,0.07934157122934546,0.03158390345337491,-0.013810604251253883,0.10243152426373305,0.06465837359015518,0.6948980087088314,0.10243152426373305
ts_diff_center_edge_lag1,0.0,159,0.47256233803031433,0.0071608875594190375,0.02416706472414617,-0.10144768738535381,0.10730713310518467,0.764954540425848,0.10144768738535381
ts_v0_end_over_plateau,0.0,159,0.09726753152360779,-0.047041831765815875,-0.04468294721757822,0.10051154995292567,-0.21580966688581776,0.2710378181532478,0.10051154995292567
ts_diff_edge_inner_mean,0.0,159,0.01947696200893814,-0.023601538538959233,0.00600370193455935,0.10021797565635647,-0.19782698189822928,0.6964341574145216,0.10021797565635647
ts_diff_edge_inner_std,0.0,159,0.06983147081917021,0.12093151127271701,0.13709099593981372,-0.10016276012654074,0.36531792662784124,0.5947022508640737,0.10016276012654074
ts_v4_range_rel,0.0,159,0.07239198583658785,-0.01204171974722212,-0.060669930737998576,0.0963300986579893,-0.38556977134201037,0.5583427955625166,0.0963300986579893
ts_v2_plateau_cv,0.0,159,0.00595807831872241,-0.10552202253004024,-0.3249134224982088,0.09499784165201182,-0.4033051726245651,0.7390993514146684,0.09499784165201182
ts_q_tv_step_rel,0.0,159,0.003398123230527724,0.27595040625415795,0.2606997850489611,0.0939719155699684,0.42712460723810725,0.09475510617739723,0.0939719155699684
ts_diff_alternating_p90span,0.0,159,0.02988296859251593,-0.359314924469845,-0.4091533317411034,-0.09220807792883183,-0.5717157311828457,0.5096625685732041,0.09220807792883183
ts_v4_tv_step_rel,0.0,159,0.005273104234685265,0.0786666148298586,-0.006687365655600668,0.09178096383437914,-0.1603247140106554,0.14519467800810876,0.09178096383437914
ts_v3_lag1,0.0,159,0.021084004418023543,0.05374513357222959,-0.07519106759016002,0.0910013365843539,0.17511569478431777,0.17999260864403582,0.0910013365843539
ts_v2_start_over_plateau,0.0,159,0.08855648632102625,-0.18909151956885997,-0.18438022450441843,-0.08897753022864292,-0.3160097694832251,0.10027426718674086,0.08897753022864292
ts_v1_start_over_plateau,0.0,159,0.08840033716951032,-0.1902642777839073,-0.18388762837353717,-0.0888078678017883,-0.3158284868644557,0.09823444543841384,0.0888078678017883
ts_q_spike_frac,0.0,151,0.06562420720390524,0.2511620554667986,0.22901711411787057,0.0883351167079726,0.4103075349383494,0.3139417361029289,0.0883351167079726
ts_diff_alternating_zero_cross,0.0,145,0.04088686557517424,0.17512724636007607,0.11432844911788591,0.08824593945807663,0.3395726728937281,0.6078227968861495,0.08824593945807663
ts_v1_end_over_plateau,0.0,159,0.09768524546382003,-0.0580448206319652,-0.055621566754239314,0.08614233426002478,-0.22319541367267245,0.26916333031867623,0.08614233426002478
ts_channel_plateau_cv_mean,0.0,159,0.005047200010130616,-0.23981813726203693,-0.28242775256747077,0.0855440668096978,-0.5865472312272655,0.5462380507709185,0.0855440668096978
ts_v2_mad_rel,0.0,159,0.002985105911624507,-0.14171138519381143,-0.18167840936231194,0.08213957484984495,-0.334018827396899,0.5705611035310543,0.08213957484984495
ts_pair_corr_mean,0.0,159,0.008767790694638102,0.2277557608431394,0.19917602101743492,0.08203178853284433,0.4644739299529398,0.22942733216206812,0.08203178853284433
ts_v4_lag1,0.0,159,0.031952136621577885,-0.019988630134238673,-0.07375507523286363,0.08167800904610913,0.2066333059158039,0.17392645606102658,0.08167800904610913
ts_q_end_over_plateau,0.0,159,0.09839946233403137,-0.05536466567245276,-0.05360042990207787,0.08069912449123008,-0.22017565488504864,0.26863100422009056,0.08069912449123008
ts_v2_range_rel,0.0,159,0.0586319087506217,-0.11214891078754538,-0.21034451874850732,0.08069734430027493,-0.36442293449610325,0.5798601547628539,0.08069734430027493
ts_v3_start_over_plateau,0.0,159,0.08772542144402547,-0.185233216622944,-0.18579531884404107,-0.08030010767741766,-0.31479191850756855,0.0961106158376526,0.08030010767741766
ts_diff_center_edge_mean,0.0,159,0.022557242117894786,0.06252592397429678,0.010980415572008599,-0.08018187597539206,0.21058916745307846,0.658873353639297,0.08018187597539206
ts_diff_center_edge_tv_step,0.0,159,0.02225660418972839,-0.03886617054722872,-0.08638643420109865,0.0797415263774445,-0.0035284089074573365,0.6517754958221009,0.0797415263774445
ts_q_lag1,0.0,159,0.018076748300777778,-0.004976263961898791,-0.18280988774779078,0.07874127737920875,0.11046122841666958,0.18578489008795968,0.07874127737920875
ts_sample_count,0.0,76,57.5641966220689,-0.3752601756509978,-0.32660466352018874,0.0783797880597096,-0.5675854082489394,0.028242830944048048,0.0783797880597096
ts_duration_raw_s,0.0,76,57.5641966220689,-0.3752601756509978,-0.32660466352018874,0.0783797880597096,-0.5675854082489392,0.028242830944048048,0.0783797880597096
ts_v2_end_over_plateau,0.0,159,0.09794638998217943,-0.05905918151300145,-0.05564843563410557,0.07593679642895082,-0.22430808674060543,0.2687888243360786,0.07593679642895082
ts_q_start_over_plateau,0.0,159,0.08786832361945576,-0.193802269404932,-0.19211547647480295,-0.07547453315851022,-0.32313635591887524,0.09683966095473892,0.07547453315851022
ts_q_plateau_cv,0.0,159,0.004992166455886809,0.06486018349861682,0.10677095772629568,0.07507026631437101,0.024180549370519826,0.6735989851322916,0.07507026631437101
ts_v4_end_over_plateau,0.0,159,0.10023821914805567,-0.05324141201721356,-0.044948650585144495,0.07496104405080677,-0.2121859563565814,0.2714247880000785,0.07496104405080677
ts_v0_cv,0.0,159,0.04428681652963496,0.0915893673172604,0.08090219727728686,-0.07386743231749163,0.27010513764323835,0.19923334626933148,0.07386743231749163
