window_id,disturbance_id,flow_point,disturbance_flag,true_is_disturbed,online_class,true_class,class_correct,mahalanobis_A,mahalanobis_B
updated_20260613_home__20260613_124351,D4,60,True,True,B,B,True,5.109686865910643,0.9874277649918586
updated_20260613_home__20260613_125939,D4,60,True,True,B,B,True,5.161534202804846,0.9484463036990324
updated_20260613_home__20260613_131135,D4,20,True,True,B,B,True,4.354119562004842,1.5745190241014237
updated_20260613_home__20260613_133232,D4,40,True,True,B,B,True,5.093668405795775,1.0255511205768655
updated_20260613_home__20260613_140329,D4,30,True,True,B,B,True,5.017801305635459,1.0597706548457007
updated_20260613_home__20260613_142315,D4,30,True,True,B,B,True,5.139617063614367,0.9662422640730874
updated_20260613_home__20260613_144932,D4,70,True,True,B,B,True,5.409209172540893,0.7654340985828583
updated_20260613_home__20260613_150948,D4,70,True,True,B,B,True,5.423263599830671,0.7657827320768447
updated_20260613_home__20260613_153216,D4,60,True,True,B,B,True,5.188387386737472,0.9373315782651005
updated_20260613_home__20260613_155444,D4,60,True,True,B,B,True,5.099242911345865,1.006982711259051
updated_20260613_home__20260613_160152,D4,20,True,True,B,B,True,4.55792114810775,1.421846019739179
updated_20260613_home__20260613_163055,D4,50,True,True,B,B,True,5.203291128135131,0.9263249709434557
updated_20260613_home__20260613_165521,D4,40,True,True,B,B,True,4.809667556718301,1.2281293397675623
updated_20260613_home__20260613_172018,D4,30,True,True,B,B,True,5.032608725666216,1.0702224025196683
updated_20260613_home__20260613_175512,D3,70,True,True,B,B,True,8.73432093603337,2.1274363421041547
updated_20260613_home__20260613_183906,D3,60,True,True,B,B,True,8.186691745878214,1.6667158847292947
updated_20260613_home__20260613_185023,D3,20,True,True,B,B,True,6.953004533644452,1.1662506276303424
updated_20260613_home__20260613_191132,D3,50,True,True,B,B,True,7.617784698378607,1.4927929336858685
updated_20260613_home__20260613_193810,D3,40,True,True,B,B,True,7.855466389613911,1.5455921821215641
updated_20260613_home__20260613_200311,D3,30,True,True,B,B,True,7.235827360002086,1.19719313979744
updated_20260614_home__20260614_074215,D3,80,True,True,B,B,True,8.854959999566029,2.279772234607009
updated_20260614_home__20260614_081037,D3,20,True,True,B,B,True,7.011272176416081,1.1938215768247329
updated_20260614_home__20260614_104000,D3,70,True,True,B,B,True,8.617947254418997,2.0857736226911747
updated_20260614_home__20260614_112510,D3,60,True,True,B,B,True,7.646488616593868,1.4797565270102921
updated_20260614_home__20260614_114805,D3,50,True,True,B,B,True,7.963781375321618,1.617351715409122
updated_20260614_home__20260614_120820,D3,40,True,True,B,B,True,7.555947145494924,1.2716654850275881
updated_20260614_home__20260614_122724,D3,30,True,True,B,B,True,7.387620980931289,1.4136633374375032
updated_20260614_home__20260614_125733,D3,70,True,True,B,B,True,8.75528766923899,2.145589053433161
updated_20260614_home__20260614_132044,D3,70,True,True,B,B,True,8.592324912485648,2.076571991167799
updated_20260614_home__20260614_134301,D3,60,True,True,B,B,True,8.04768599844401,1.6344981473320024
updated_20260614_home__20260614_140554,D3,60,True,True,B,B,True,8.108540194397813,1.7972645193178425
updated_20260614_home__20260614_141152,D3,20,True,True,B,B,True,6.703137044634637,1.369119095197237
updated_20260614_home__20260614_143655,D3,50,True,True,B,B,True,7.956395249726607,1.557243445903566
updated_20260614_home__20260614_150839,D3,40,True,True,B,B,True,7.64520315362563,1.3818479807013273
updated_20260614_home__20260614_152508,D3,30,True,True,B,B,True,7.429852556717275,1.295794947793147
updated_20260614_home__20260614_160338,D1,70,True,True,A,A,True,1.697671527538219,5.06219572802673
updated_20260614_home__20260614_162605,D1,70,True,True,A,A,True,1.620480712746944,5.231817475669198
updated_20260614_home__20260614_164616,D1,60,True,True,A,A,True,1.6522379101649391,5.591579667858088
updated_20260614_home__20260614_170947,D1,60,True,True,A,A,True,0.9362518687661135,5.131793213617994
updated_20260614_home__20260614_172958,D1,20,True,True,A,A,True,1.0011923928519395,5.7843571907865154
updated_20260614_home__20260614_174251,D1,40,True,True,A,A,True,0.43695394071045845,4.992831810764602
updated_20260614_home__20260614_180540,D1,40,True,True,A,A,True,0.816845950529733,5.47733262924444
updated_20260614_home__20260614_183026,D1,30,True,True,A,A,True,0.6928221512209809,5.575260196393072
updated_20260614_home__20260614_185836,D1,80,True,True,A,A,True,1.4434662610246158,4.894070401324592
updated_20260614_home__20260614_191724,D1,70,True,True,A,A,True,1.34104617290939,5.103822599195584
updated_20260614_home__20260614_202100,D1,50,True,True,A,A,True,0.7291626006615038,5.328712617061574
updated_20260614_home__20260614_204622,D1,40,True,True,A,A,True,0.8319523051307339,5.5423349391279695
updated_20260614_home__20260614_211209,D1,30,True,True,A,A,True,0.8827521345105942,5.70204270623508
updated_20260614_home__20260614_211852,D1,20,True,True,A,A,True,1.2140941602223176,5.998173380510769
updated_20260615_home__20260615_082503,D1,70,True,True,A,A,True,1.2799545470558564,4.985976293386224
updated_20260615_home__20260615_084347,D1,60,True,True,A,A,True,1.4222924231292513,5.42293589193375
updated_20260615_home__20260615_090717,D1,60,True,True,A,A,True,1.1252572600503605,5.396954631623241
updated_20260615_home__20260615_091320,D1,20,True,True,A,A,True,1.2466522874689017,6.004105859844635
updated_20260615_home__20260615_093814,D1,50,True,True,A,A,True,0.8240493180332451,5.401066379028098
updated_20260615_home__20260615_100425,D1,40,True,True,A,A,True,0.849344907422814,5.491245378855766
updated_20260615_home__20260615_102727,D1,30,True,True,A,A,True,0.45884518079825587,5.397107747615309
updated_20260615_home__20260615_110318,D2,70,True,True,A,A,True,1.683450117372246,3.732054457142096
updated_20260615_home__20260615_112244,D2,70,True,True,A,A,True,2.0398815501292913,3.5522234213678416
updated_20260615_home__20260615_112934,D2,20,True,True,A,A,True,1.0410918642083755,4.78579492891649
updated_20260615_home__20260615_124408,D2,60,True,True,A,A,True,1.7407939367753638,3.895024992380745
updated_20260615_home__20260615_130315,D2,60,True,True,A,A,True,1.4043167674584327,4.051053952468106
updated_20260615_home__20260615_132331,D2,50,True,True,A,A,True,1.0553895643531155,4.2993698083707965
updated_20260615_home__20260615_134958,D2,40,True,True,A,A,True,1.4031572934459866,4.100775053636256
updated_20260615_home__20260615_141432,D2,30,True,True,A,A,True,1.2047847215548888,4.372119161767913
updated_20260615_home__20260615_143858,D2,80,True,True,A,A,True,1.4202785752761877,3.928886868991136
updated_20260615_home__20260615_150101,D2,70,True,True,A,A,True,1.5502491899212698,3.828618918474111
updated_20260615_home__20260615_152340,D2,60,True,True,A,A,True,1.4838183768002366,3.97575825287783
updated_20260615_home__20260615_154558,D2,50,True,True,A,A,True,1.4979946792972485,3.980529511003495
updated_20260615_home__20260615_155125,D2,20,True,True,A,A,True,0.7691322958587833,4.858378872044274
updated_20260615_home__20260615_161951,D2,50,True,True,A,A,True,1.3279477096038104,4.118647328622163
updated_20260615_home__20260615_164538,D2,40,True,True,A,A,True,1.5320322543019818,4.0300531985899735
updated_20260615_home__20260615_171343,D2,30,True,True,A,A,True,1.0578541487279924,4.494652573581464
updated_20260615_home__20260615_173454,D2,80,True,True,A,A,True,1.7847331513389775,3.6767266487309636
updated_20260615_home__20260615_175827,D2,70,True,True,A,A,True,2.167947537145845,3.514415828882315
updated_20260615_home__20260615_181821,D2,60,True,True,A,A,True,1.8453120225395327,3.6579347038124954
updated_20260615_home__20260615_184806,D2,20,True,True,A,A,True,0.9284169331823681,4.494991298904019
updated_20260615_home__20260615_191512,D2,50,True,True,A,A,True,1.4917063471448688,4.028078042323974
updated_20260615_home__20260615_194133,D2,40,True,True,A,A,True,1.4024629799691646,4.222122772696984
updated_20260615_home__20260615_200106,D2,30,True,True,A,A,True,1.3955014976876978,4.181411464189121
