window_id,model_volume_m3
updated_20260615_home__20260615_112934,42.3084770530075
updated_20260615_home__20260615_124408,81.6574101811185
updated_20260615_home__20260615_130315,80.94863218445536
updated_20260615_home__20260615_132331,81.56696194070135
updated_20260615_home__20260615_134958,81.22708346123287
updated_20260615_home__20260615_141432,81.02676832169259
updated_20260615_home__20260615_143858,84.18624173577285
updated_20260615_home__20260615_150101,83.56869550485176
updated_20260615_home__20260615_152340,82.60757468972892
updated_20260615_home__20260615_154558,81.95101035199464
updated_20260615_home__20260615_155125,42.33539771466237
updated_20260615_home__20260615_161951,82.13050220644212
updated_20260615_home__20260615_164538,81.54328871913744
updated_20260615_home__20260615_171343,81.2773353148725
updated_20260615_home__20260615_173454,83.9280514008952
updated_20260615_home__20260615_175827,82.89121123058534
updated_20260615_home__20260615_181821,81.75194700247556
updated_20260615_home__20260615_184806,42.25592448083506
updated_20260615_home__20260615_191512,81.97292917994083
updated_20260615_home__20260615_194133,82.51707566726976
updated_20260615_home__20260615_200106,82.2173164921599
