window_id,base_volume_m3,model_volume_m3,zero_bias_volume_m3,base_error_pct,model_error_pct,zero_bias_error_pct,online_class,flow_point
updated_20260610_home__20260610_133459,84.09694800718059,83.86732346523779,83.64458766675939,0.486376500844895,0.2120010482003135,-0.05414313225443242,B,70
updated_20260610_home__20260610_142511,32.99480963937421,32.798795995794755,32.74641642498379,0.6804924946881513,0.08237568822816053,-0.07745554109388805,B,20
updated_20260610_home__20260610_151635,81.76867957220546,81.49459047827305,81.36444388163534,0.4156683542536524,0.0790744444604759,-0.08075151278599423,B,40
updated_20260610_home__20260610_153802,81.7108941823012,81.33565971261977,81.20576692789926,0.5670068286615867,0.10518092585589454,-0.05468672335667438,B,30
updated_20260610_home__20260610_164855,82.33713159358895,82.12137931520249,81.96485341215346,0.42289291623038294,0.15974957458738484,-0.031158023191171662,B,60
updated_20260610_home__20260610_171120,82.1717298570476,81.95641098945426,81.80019952116483,0.29455471601211364,0.03174766564577923,-0.15891595651330645,B,60
updated_20260610_home__20260610_174255,82.53359074234676,82.37166361168325,82.19174884967673,0.3441811810831033,0.14731048648122957,-0.07142953577580041,B,50
updated_20260610_home__20260610_183250,81.11223591854046,80.73975061980339,80.61080949997105,0.5720158343434115,0.11016692907753683,-0.04970868276601804,B,30
updated_20260612_home__20260612_080630,85.21146705891653,84.97879935152235,84.75311168265164,0.5431989188535982,0.268668314065966,0.002373636037339247,B,70
updated_20260612_home__20260612_082527,83.71004252425287,83.5197249949044,83.28624565417701,0.529297741488002,0.30074108333370453,0.020350422276886486,B,80
updated_20260612_home__20260612_090916,81.71888428291835,81.50475203019104,81.34940143792512,0.35624285623557933,0.09327416121942976,-0.09750673235375125,B,60
updated_20260612_home__20260612_091443,42.187169608444634,41.93654652809846,41.86957399932888,0.6481363897475458,0.050211802551464985,-0.10956806114951101,B,20
updated_20260612_home__20260612_094031,82.20034864402015,82.03907531911393,81.85988699069976,0.3553304008459979,0.15843783198480774,-0.060326494427663635,B,50
updated_20260612_home__20260612_103120,81.93185004913032,81.55560090131641,81.425356871231,0.41947754264062326,-0.04167087310587905,-0.20130400047187583,B,30
updated_20260612_home__20260612_105433,83.1427531082225,82.95372532998188,82.72182824097558,0.5476522625163396,0.3190538747560273,0.03861202030186099,B,80
updated_20260612_home__20260612_112334,42.43018206431486,42.178115309723225,42.11075699639301,0.7917021545882595,0.19292468025727996,0.03291690455356457,B,20
updated_20260612_home__20260612_124344,82.74186913722883,82.52505630395663,82.3677609800122,0.30472495284770357,0.04189125287958533,-0.14879170327224378,B,60
updated_20260612_home__20260612_130526,82.31376859961578,82.15227274994353,81.97283717766013,0.4679198436914482,0.27080637949226277,0.05179661964315945,B,50
