window_id,profile_ab_abs,profile_swirl,disturbance_flag,true_is_disturbed,detection_correct
updated_20260615_home__20260615_141432,0.207907317495,0.12337209263,True,True,True
updated_20260615_home__20260615_143858,0.210431284774,0.124859771048,True,True,True
updated_20260615_home__20260615_150101,0.211601474428,0.125878982681,True,True,True
updated_20260615_home__20260615_152340,0.209711292985,0.124685857685,True,True,True
updated_20260615_home__20260615_154558,0.209348108779,0.124304625685,True,True,True
updated_20260615_home__20260615_155125,0.207119768645,0.12256221293,True,True,True
updated_20260615_home__20260615_161951,0.210623209,0.124820769954,True,True,True
updated_20260615_home__20260615_164538,0.208224654144,0.123535892932,True,True,True
updated_20260615_home__20260615_171343,0.204913197076,0.121514266174,True,True,True
updated_20260615_home__20260615_173454,0.211111760712,0.125680493762,True,True,True
updated_20260615_home__20260615_175827,0.211587286474,0.125397546109,True,True,True
updated_20260615_home__20260615_181821,0.209576425487,0.124520565247,True,True,True
updated_20260615_home__20260615_184806,0.206485011199,0.122395139289,True,True,True
updated_20260615_home__20260615_191512,0.207506643464,0.123450905619,True,True,True
updated_20260615_home__20260615_194133,0.207987609616,0.123294368958,True,True,True
updated_20260615_home__20260615_200106,0.206628631958,0.122647392904,True,True,True
